_id,CRASH_CRN,MUNICIPALITY,POLICE_AGCY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,BUS_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MAX_SEVERITY_LEVEL,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG
216670,2022000914,2118,2118,2022,1,2,0,0,0,1,0,0,0,1,8,40 31:46.958,79 57:08.947,40.5297,-79.9525
216671,2022000925,2301,2301,2022,1,7,0,1,0,0,0,0,0,0,0,40 26:09.819,79 59:41.364,40.4361,-79.9948
216672,2022000929,2115,2115,2022,1,3,0,2,0,0,0,0,0,0,0,40 30:13.937,80 08:21.922,40.5039,-80.1394
216673,2022000931,2448,2448,2022,1,3,0,0,0,2,0,0,0,0,0,40 24:27.198,79 54:03.405,40.4076,-79.9009
216674,2022000940,2301,2301,2022,1,3,0,0,0,0,0,0,0,1,3,40 28:27.450,79 54:12.290,40.4743,-79.9034
216675,2022000965,2301,2301,2022,1,3,0,0,0,1,0,0,0,1,4,40 26:47.380,80 01:02.740,40.4465,-80.0174
216676,2022001075,2214,2214,2022,1,3,0,0,1,0,1,0,0,0,0,40 26:13.732,80 15:11.134,40.4371,-80.2531
216677,2022001088,2113,2113,2022,1,3,0,0,0,1,0,0,0,0,0,40 27:35.888,79 51:30.442,40.46,-79.8585
216678,2022001091,2301,2301,2022,1,2,0,0,0,1,0,0,0,0,0,40 26:24.504,79 57:32.087,40.4401,-79.9589
216679,2022001092,2102,2102,2022,1,3,0,0,0,1,0,0,0,0,0,40 22:22.592,80 05:57.384,40.3729,-80.0993
216680,2022001149,2301,2503,2022,1,3,1,0,0,0,0,0,0,4,3,40 25:40.234,79 58:50.306,40.4278,-79.9806
216681,2022001152,2424,2424,2022,1,3,0,0,0,1,1,0,0,1,3,40 22:57.381,79 48:37.418,40.3826,-79.8104
216682,2022001159,2458,2458,2022,1,3,0,0,0,0,1,0,0,0,0,40 32:50.960,80 11:43.129,40.5475,-80.1953
216683,2022001163,2402,2402,2022,1,3,0,0,0,0,0,0,0,0,0,40 29:40.364,80 03:53.104,40.4945,-80.0648
216684,2022001192,2208,2208,2022,1,3,0,1,0,0,0,0,0,0,0,40 32:57.873,79 50:23.951,40.5494,-79.84
216685,2022001300,2301,2301,2022,1,3,0,0,0,0,0,0,0,0,0,40 26:00.530,79 56:13.910,40.4335,-79.9372
216686,2022001303,2301,2301,2022,1,3,0,1,0,0,0,0,0,1,8,40 25:45.290,79 59:57.359,40.4292,-79.9992
216687,2022001305,2455,2455,2022,1,4,0,1,0,0,0,0,0,0,0,40 20:37.678,79 52:18.596,40.3438,-79.8718
216688,2022001315,2301,2301,2022,1,4,0,0,0,1,0,0,0,0,9,40 25:17.554,79 59:03.873,40.4215,-79.9844
216689,2022001344,2220,2220,2022,1,3,0,1,0,0,0,0,0,0,0,40 36:40.349,79 53:40.941,40.6139,-79.9016
216690,2022001353,2216,2505,2022,1,3,0,0,0,0,1,0,0,1,4,40 38:58.200,80 00:31.811,40.6495,-80.0088
216691,2022001385,2301,2301,2022,1,4,0,0,0,1,0,0,0,0,0,40 27:18.852,80 01:45.434,40.4552,-80.0293
216692,2022001408,2204,2204,2022,1,4,0,0,0,1,0,0,0,1,8,40 14:55.893,79 52:37.531,40.249,-79.8771
216693,2022001410,2208,2208,2022,1,4,0,0,0,2,0,0,0,0,0,40 32:17.807,79 49:57.342,40.5383,-79.8326
216694,2022001413,2466,2466,2022,1,3,0,0,0,1,0,0,0,1,3,40 27:18.035,79 42:39.085,40.455,-79.7109
216695,2022001469,2117,68B03,2022,1,2,0,2,0,0,0,0,0,1,8,40 24:39.269,80 04:27.321,40.4109,-80.0743
216696,2022001471,2301,68B03,2022,1,3,0,1,0,1,0,0,0,3,4,40 26:19.407,80 00:41.976,40.4387,-80.0117
216697,2022001475,2301,68B03,2022,1,7,0,0,0,1,0,0,0,0,0,40 26:08.017,79 58:07.245,40.4356,-79.9687
216698,2022001487,2301,2301,2022,1,4,0,0,0,1,0,0,0,1,3,40 28:43.115,80 02:34.057,40.4786,-80.0428
216699,2022001492,2301,2301,2022,1,4,0,0,0,0,0,0,0,1,4,40 25:38.588,79 58:50.487,40.4274,-79.9807
216700,2022001499,2473,2473,2022,1,3,0,0,0,1,0,0,0,0,0,40 21:19.308,79 57:21.946,40.3554,-79.9561
216701,2022001500,2301,2301,2022,1,2,0,0,0,0,0,0,0,0,0,40 26:39.342,80 01:41.742,40.4443,-80.0283
216702,2022001606,2411,68B03,2022,1,2,0,0,0,0,0,0,0,1,4,40 25:56.994,79 52:15.348,40.4325,-79.8709
216703,2022001626,2427,2427,2022,1,4,0,0,0,0,0,0,0,0,0,40 32:38.809,80 11:34.478,40.5441,-80.1929
216704,2022001634,2301,2301,2022,1,4,0,0,0,0,0,0,0,0,9,40 28:14.912,79 57:36.737,40.4708,-79.9602
216705,2022001639,2116,2116,2022,1,3,0,0,0,1,0,0,0,1,3,40 32:40.736,80 02:09.501,40.5446,-80.0359
216706,2022001649,2301,2301,2022,1,1,0,0,0,0,0,0,0,0,9,40 27:28.105,79 56:07.835,40.4578,-79.9355
216707,2022001656,2407,2407,2022,1,2,0,0,0,1,0,0,0,1,3,40 20:15.444,80 00:40.636,40.3376,-80.0113
216708,2022001657,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 25:39.494,79 59:10.870,40.4276,-79.9864
216709,2022001658,2301,2301,2022,1,4,0,0,0,0,0,0,0,0,0,40 26:58.940,80 01:30.356,40.4497,-80.0251
216710,2022001685,2440,2440,2022,1,4,0,1,0,1,0,0,0,2,3,40 17:26.603,79 54:48.259,40.291,-79.9138
216711,2022001687,2402,2402,2022,1,4,0,1,0,0,0,0,0,0,0,40 29:42.478,80 03:56.820,40.4951,-80.0658
216712,2022001692,2113,2113,2022,1,5,0,0,0,0,0,0,0,0,9,40 27:23.366,79 49:23.025,40.4565,-79.8231
216713,2022001710,2301,2301,2022,1,5,0,0,0,1,0,0,0,0,0,40 28:00.160,79 56:46.250,40.4667,-79.9462
216714,2022001814,2301,2301,2022,1,4,0,0,0,1,0,0,0,0,0,40 26:26.172,79 57:29.789,40.4406,-79.9583
216715,2022001821,2220,2220,2022,1,4,0,0,0,0,0,0,0,1,3,40 36:51.210,79 54:05.925,40.6142,-79.9016
216716,2022001825,2301,2301,2022,1,5,0,1,0,1,0,0,0,0,0,40 26:55.954,79 53:38.042,40.4489,-79.8939
216717,2022001828,2458,2458,2022,1,5,0,0,0,2,0,0,0,0,0,40 32:03.030,80 11:11.666,40.5342,-80.1866
216718,2022001831,2109,2109,2022,1,1,0,0,0,1,1,0,0,0,0,40 21:18.457,80 02:59.859,40.3552,-80.0502
216719,2022001874,2301,2301,2022,1,5,0,0,0,1,0,0,0,0,0,40 28:08.700,79 57:45.900,40.4691,-79.9628
216720,2022001877,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 27:45.349,79 54:19.996,40.4626,-79.9056
216721,2022001878,2301,2301,2022,1,5,0,0,0,1,0,0,0,0,0,40 24:33.717,80 00:50.677,40.4094,-80.0141
216722,2022001879,2301,2301,2022,1,5,0,0,0,3,0,0,0,0,0,40 24:33.255,79 59:37.909,40.4092,-79.9939
216723,2022001887,2301,2301,2022,1,5,0,0,0,2,0,0,0,0,0,40 28:09.235,80 00:52.437,40.4692,-80.0146
216724,2022001888,2214,2214,2022,1,5,0,2,0,0,0,0,0,0,0,40 27:16.800,80 13:28.860,40.4547,-80.2247
216725,2022001962,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 27:03.746,80 01:39.382,40.451,-80.0276
216726,2022001964,2301,2301,2022,1,5,0,0,0,2,0,0,0,0,9,40 28:31.698,79 54:29.248,40.4755,-79.9081
216727,2022001967,2119,2119,2022,1,5,0,0,0,1,0,0,0,1,3,40 19:33.370,80 08:15.402,40.3259,-80.1376
216728,2022001968,2301,2301,2022,1,5,0,1,0,0,0,0,0,0,0,40 23:54.600,80 01:40.500,40.3985,-80.0279
216729,2022001969,2208,2208,2022,1,5,0,1,0,0,0,0,0,0,0,40 32:57.873,79 50:23.951,40.5494,-79.84
216730,2022001970,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 25:34.932,80 03:41.515,40.4264,-80.0615
216731,2022001975,2113,2113,2022,1,5,0,0,0,0,0,0,0,0,0,40 27:05.152,79 48:54.310,40.4514,-79.8151
216732,2022001976,2446,2446,2022,1,5,0,0,0,1,0,0,0,0,0,40 25:38.928,79 43:17.492,40.4274,-79.7215
216733,2022001978,2113,2113,2022,1,5,0,0,0,0,0,0,0,0,0,40 28:32.372,79 48:44.143,40.4757,-79.8123
